rank	target_id	source_id	source_revision	source_lines	form	normalized	part_of_speech	flags	morphology	token_count	document_count	zipf	audit_flags	decision_status
1	e7f45468499f8239c1ce09667a910c270212f96b5e85a44214c3a8d71d16e981	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	9452	bo	bo	adp	P	po:adp;st:bo	6	6	7.78		pending
2	bc680c9114441698feafb4d541323c884a37b01208cd6d0e65e8dbe150cb25d6	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	16631	ez	ez	pronoun	B	po:pron;st:ez	4	4	7.61		pending
3	1d808995f121eda474a149ada961e4eadee5589e2022145c9e817345897a99a1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	42118	çêkirin	çêkirin	noun_fem	F	po:noun_fem	2	2	7.31		pending
4	3a7e6da55d9ddcb404e8bbc1dd4a1cc0e0664cc621e74965c06218eab1fdab87	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	19141	hat	hat	verb	I	po:verb;is:past_stem_intransitive_active;st:hat;lem:hatin	2	2	7.31		pending
5	53c2b783ebce4cec806c3b6360524a240de08de1989ab9bd31655d41337e7149	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	30041	platform	platform	noun_fem	F	po:noun_fem	2	2	7.31		pending
6	9800fa78e11170f2f0c23ace9a80a2ab3503b25c6a0ef01b53c25eaf44099538	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	33117	rojbaş	rojbaş	intj	D	po:intj;st:roj	2	2	7.31		pending
7	98f786306a53f61b05892c6d99f90360a39de7bca6f837b64ed20b8af1f93d17	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	16451	ev	ev	pronoun	B	po:pron;st:ev	2	2	7.31		pending
8	b152c8ac14c1bb12d3c82c9560db1e32fdd71cdeeb4e1cb89e3d71fd403c8a1d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40267	yî	yî	verb	W	po:verb;is:present_copula_2sg;st:yî;lem:bûn	2	2	7.31		pending
9	17c97b9a473281bbf7a3afb8e0eba4a6ebf96c7c6db8a9b8547e663661af9c1f	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	38564	werin	werin	verb	W	po:verb;is:come_imp_2pl;st:wer;lem:hatin	1	1	7.00		pending
10	21f108afff4787f2f22743bc0d4362bd2ed3201e850c837e70f05bd4d2bed975	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	39745	xwe	xwe	pronoun	B	po:pron;st:xwe	1	1	7.00		pending
11	2c57998838301bb7495538223a2565e094222b2ada9a598849d2db0cd14d0d62	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	14557	dewlemend	dewlemend	adjective	AN	po:adj	1	1	7.00		pending
12	392085de28e0d997cf859f4065953b0f40e392ed6b1038080a4733fd30235140	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	30547	pêş	pêş	adverb	R	po:adv	1	1	7.00		pending
13	47cf0f84fe5c4c8ad47ef9ff01af90efdec6e8312010b8d4e9175ead4d82b545	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	17799	gelekî	gelekî	adverb	R	po:adv	1	1	7.00		pending
14	4a6416807be5b0647ddf1b2def25112aa2c74587fdc2f5ca5d641a013e288ce8	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13876	de	de	adp	P	po:adp;st:de	1	1	7.00		pending
15	4de9f50a0617823d5fae366819c258fe444959969356a909befe5f04f95298bd	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	34467	serkeftin	serkeftin	noun_fem	F	po:noun_fem	1	1	7.00		pending
16	52f05066e8113746a28c8cb912ed80a815922a73fba0acf721dce61f43cd8d27	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	32384	re	re	adp	P	po:adp;st:re	1	1	7.00		pending
17	62bb751b221d7dcea3832c891e81d0b70dce68e185121412e7bab0a31d5d47e1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40182	ye	ye	verb	W	po:verb;is:present_copula_3sg;st:ye;lem:bûn	1	1	7.00		pending
18	6ec5e764cac6a5453c45d58ad07ad76100dae73970384becdc05c701bba8ba49	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	16011	em	em	pronoun	B	po:pron;st:em	1	1	7.00		pending
19	b440a21b94c892dcca69829c1a0c5f3ba586b9226b466e7f843a89bf1c144de2	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	21324	im	im	verb	W	po:verb;is:present_copula_1sg;st:im;lem:bûn	1	1	7.00		pending
20	b7eb493033b5d1bb4db9023c7157d48a848be3d166609b75b2eaf5b2c8fdb8a1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	5205	bi	bi	adp	P	po:adp;st:bi	1	1	7.00		pending
21	c6b04cc10e5c99d5e7ea4f7387bf93bd082d26b1965eb4383cab8253d5277188	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	14639	di	di	adp	P	po:adp;st:di	1	1	7.00		pending
22	d83cc91de4ce66e79cee2d27272614abb3f6383231d39c307445ec81d7a05c4a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	38267	vê	vê	verb	V	po:verb;is:present_stem_transitive_active;st:vê;lem:vîn	1	1	7.00		pending
23	000042dcd3c13af2679675435db8d476d6d408d0e44679c330f53dde43f3e53e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	4105	beratexwer	beratexwer	noun_fem	F	po:noun_fem					pending
24	0001b76b40dc3bb7ffadd4d5530306c037fd9f36aeb5728bab680a17beeb1711	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	831	alozkirin	alozkirin	noun_fem	F	po:noun_fem					pending
25	0002c3542c0ac763e8112a0d46e1ea4eeba89bdbfb24204d7ad2dbe5884b3ad1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13166	cilqkirin	cilqkirin	noun_fem	F	po:noun_fem					pending
26	0003f333409d9112d401fa9fcf451a46330af0ed7bc707ad17e238ff2d23011f	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40703	zexîre	zexîre	noun_fem	F	po:noun_fem					pending
27	0004e5c45b776a26a5e0d88ffa46e8a94b9f4ec3bc733159c4549137fb5ff2ad	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	21425	israf	israf	noun_fem	F	po:noun_fem					pending
28	000609fec3d48e9b3c5da366a291231a4ec931d5a604d05c41cb5f8848329173	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	8421	biskdan	biskdan	noun_fem	F	po:noun_fem					pending
29	0008beffbad4d3aa38a2855b4bd2fe387e0ae61e2e97bd9c875538c42e6ba53c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	28115	normalî	normalî	noun_fem	F	po:noun_fem					pending
30	000a9affc2922cbec3d54b63b927505b9246fa495917d187e202c23ca20fdaef	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	7291	binavgerî	binavgerî	noun_fem	F	po:noun_fem					pending
31	000e4c222d12abb5f3cf98ff98d527db1ae65550f1031771229a0adb0123eb42	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	26964	naqolbûn	naqolbûn	noun_fem	F	po:noun_fem					pending
32	001147b045f5cac7b3a21b639e449bd5613608c077750d63746829dd22dbd8d3	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	20491	hilqetîn	hilqetîn	noun_fem	F	po:noun_fem					pending
33	0012aa97c4ac36f826951d7939c39303f3f51a0217219a74a90d018575781a12	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	26310	mithîşane	mithîşane	adjective	AN	po:adj					pending
34	00130a338d5476478b135d809e7c006386e3338db841a268f14987aa5d27d054	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	22177	kaşûn	kaşûn	noun_fem	F	po:noun_fem					pending
35	0015477bc2f9ae81cb969d83c069545de931a7de02e141adcc56ad5b01b956a2	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	33412	rêzikname	rêzikname	noun_fem	F	po:noun_fem					pending
36	0015b53030f5ab0116a6088acfe253067766bfff852428eec80503baaf562056	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	9147	biçavharî	biçavharî	noun_fem	F	po:noun_fem					pending
37	001a0716cab4ea80f15eda62e0b02f9ef10b9b7ef3880391aad46912d47cd065	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	16347	esebîtî	esebîtî	noun_fem	F	po:noun_fem					pending
38	001cd98dc4a1bd90f5e4ffda5cab7e22b7538e84ac19a4c4d3c353b5d4c9a2d3	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	38897	xasokî	xasokî	adjective	AN	po:adj					pending
39	001eede324f0f3788bf0c1946f9de16810a6b79ff89b49b2b2bd17e3fb03525f	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	3817	belekkirin	belekkirin	noun_fem	F	po:noun_fem					pending
40	00218f7372ba1bb1e03900ccfe4d9c4cd6edc4cedc464bc60004e0a32c60298d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	8453	bisturî	bisturî	noun_fem	F	po:noun_fem					pending
41	00227c5ba5f5dbeb16d30f0f64d085de49de6ac160da2a23a3d8d7e0f03b3c0a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	6045	biferaset	biferaset	adjective	AN	po:adj					pending
42	002aadf6c76d2a63da02ae6ce2c84531e2215da96bf7cd5ae91bbc45ec2126e3	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	2880	balonfiroş	balonfiroş	noun_fem	F	po:noun_fem					pending
43	002ded23fd1fc673f1600b50d6a74893751ae0e572166bcead80271dcf095f66	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13596	dal	dal	noun_fem	F	po:noun_fem					pending
44	002f546aae3def2ec947bb4859bf7f03dcac2873f301ee9b9fc0dadc07ca090e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	2733	bajarvanîkirin	bajarvanîkirin	noun_fem	F	po:noun_fem					pending
45	00317c0ad205fde69c10f4c56098268d9bfea984a29ec143fe1fc4fc9e6b4e72	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	30572	pêşbînî	pêşbînî	noun_fem	F	po:noun_fem					pending
46	00318952c83c3e08a42ec6656acce56ae46bc581424fc8f65493c43ff7a0c870	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	12296	bêxirrxalî	bêxirrxalî	noun_fem	F	po:noun_fem					pending
47	0031e6e62f30d0644e51d14b10077a493e48cbb2d729cd08d2c1b5a9999bca78	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	25825	meşkirin	meşkirin	noun_fem	F	po:noun_fem					pending
48	003248f1138455c4aee494536fc3c156a27bc7d7749b48c807f76bfcedf4646d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	23619	kuncî	kuncî	noun_fem	F	po:noun_fem					pending
49	00334bb08dd1da6019bb49a1a52678abdf71b1d34b5d0cf5f24c6aa87fca5b9b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	32976	risand	risand	verb	T	po:verb;is:past_stem_transitive_active;st:ris;lem:risandin					pending
50	0033e0f52fa74e12aace5a9a8dd71e5f06ffe7ee5e08d89061c9525995a8c997	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	5270	biatacî	biatacî	noun_fem	F	po:noun_fem					pending
51	003a1507191fe8f96dddd96767d6371301770c600b04fd96f259ed525320a040	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	20585	hindûewropî	hindûewropî	adjective	AN	po:adj					pending
52	003a3c2097e6b413507be994b4f3a24b51bf66c61bff5642c62b543a72afbc60	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	7817	biqelen	biqelen	adjective	AN	po:adj					pending
53	003cc8846f499fac2e638ab8e847968adb7da3bf1e0b8c3ca82a5a1eb341c1fd	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	22908	kipkirî	kipkirî	adjective	AN	po:adj					pending
54	003ddf83c9da7d7e73ad8070e8b5eaa654ef2b64674232d3d6781507ada48a33	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	14381	destdirêjîkirin	destdirêjîkirin	noun_fem	F	po:noun_fem					pending
55	00409e764a96723635f1a8e43ebb06fba914641b1168ab72fd76c78fdcac6166	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	19077	hakimbûn	hakimbûn	noun_fem	F	po:noun_fem					pending
56	0040df26aba6a200f713052803a59cbe389ad4e3339040dbcfbbfad333cd2334	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	20268	heywanbûn	heywanbûn	noun_fem	F	po:noun_fem					pending
57	004264ca11827d75073fbaac1fc3a1d766275657b2def248e63a0fe27fd16022	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	34461	serjêkirî	serjêkirî	adjective	AN	po:adj					pending
58	004278ac3188ef02683dd2bf67c5cc39b18a4a79a271ffe9b2df1009eefaf9c7	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40518	zeman	zeman	noun_masc	M	po:noun_masc					pending
59	0047749d17202330b77edfa5af23593ef3ceec364421232859aabe55b8baecff	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	31950	qurt	qurt	noun_fem	F	po:noun_fem					pending
60	004a739ed22929262e8cca34c76ffa554fffd2bcca92b7b9dd409fa67e0459cc	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	8075	bironakbîrîtî	bironakbîrîtî	noun_fem	F	po:noun_fem					pending
61	004b2940d46e936944d7170591605a4fccf617d654116d650a90609ccd177f68	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	27059	navdêrkirî	navdêrkirî	adjective	AN	po:adj					pending
62	004bf4366045fe8450c074c4bba52d6ee856dc242748859f25d2ba3d7212c0f5	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	27419	nemirî	nemirî	noun_fem	F	po:noun_fem					pending
63	00510f28e159ba706d6d194c1592b295f9aa7145053959c119ce1502fb036333	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	43618	şoplêkirin	şoplêkirin	noun_fem	F	po:noun_fem					pending
64	005178d79cbc05ee7f2ab6f82b6c63820ed47b3d55b8105ad0b21fca2d14bca9	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	12381	bêzeverkirin	bêzeverkirin	noun_fem	F	po:noun_fem					pending
65	0053dd791bcbbdef2373c2b0dec198c553e7da501d2b710148288f3d36d5818f	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13248	civirandî	civirandî	adjective	AN	po:adj					pending
66	005d05618d3091874f920e82165305fa5ac9911fd29686bca29a06d91a6c30f6	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	31524	qewitandî	qewitandî	adjective	AN	po:adj					pending
67	005d30782cd950439ea11f67569b369e2d29ab2380474cb483ffb61e7d3f2325	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	18998	gêranî	gêranî	adjective	AN	po:adj					pending
68	005dac1c3f46a994731966d4f6e257b09a933770b15b0b475ff4fc747ed58145	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	37036	teyfik	teyfik	noun_fem	F	po:noun_fem					pending
69	005dfc48a3e52787956782ab16bc7d488f6fac5f36b04202c3d598157f70bc62	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	13958	dehsal	dehsal	noun_fem	F	po:noun_fem					pending
70	00602cf8fe3a0460f78726d1806c33b25761bf5d7ea92543fb8ae540fae41f5c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40061	xêrxwazkirin	xêrxwazkirin	noun_fem	F	po:noun_fem					pending
71	00617ef4b7cf466c84f5949d590fb7103f017d8963b466da1985c026a3132acf	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	1124	angaştî	angaştî	adjective	AN	po:adj					pending
72	0061d691d03b592b2c453c984d8fc548e62f3699e8d8b945247c326460432899	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	29414	perîşanî	perîşanî	noun_fem	F	po:noun_fem					pending
73	00646e46df42fd585ef3a94d0ee1b66457e9ac0309cb0409edb02d5038b29643	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	1406	argûr	argûr	noun_fem	F	po:noun_fem					pending
74	006530e37a5a66d105d45a0437a2283c0552e1a9a35373b305a7479de9ed2f2c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	22317	kelkirî	kelkirî	adjective	AN	po:adj					pending
75	0065b45e817694ebcdafa4a0bd748812433e0f5088776f06f37f4154f1d94550	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	23874	kêmbihakirin	kêmbihakirin	noun_fem	F	po:noun_fem					pending
76	006abe877c93fcf6681697aeada59b2f113c243b803e401f6bc5441ee16d4cd8	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	26892	mûçink	mûçink	noun_masc	M	po:noun_masc					pending
77	006b5ed57de0cc8d4ba427b293678bdb1eda00d739ffe78eebbf23144118ef4e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	28794	parre	parre	adverb	R	po:adv					pending
78	006ba5e349a67fa923b44d15245b43af3d542aa63d71a2c1693018ecc8a8303a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	35408	stayiş	stayiş	noun_fem	F	po:noun_fem					pending
79	00731138a9b1a84aee900ed84c2e4de462a411616ca3e75c68c5cf5a59aa9e23	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	38523	wergerihayî	wergerihayî	adjective	AN	po:adj					pending
80	00752de610f9bc82ae46fcf8d4d16b565ac8eafa01ae50ac4ace3c37e4b27420	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41482	çaxûn	çaxûn	noun_fem	F	po:noun_fem					pending
81	007770adc84def829140e9cf7a08602e4c208cf3c7b75ea2fc83955d28b9bcf6	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40997	zordar	zordar	adjective	AN	po:adj					pending
82	00779e3549064817d291c82a28a9b55f6da9b13065aa2a051bb82271d026340c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	28155	noviyalî	noviyalî	noun_fem	F	po:noun_fem					pending
83	007bef19d7d641f528b66edae584136f9455fe5fee8f15722d6c9fac2eb13efa	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	9969	bêbexş	bêbexş	adjective	AN	po:adj					pending
84	007c5799deed8c2dd7433000d48e8dc88984673d34eec09fc168809ede3a6cb4	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	17200	firavîn	firavîn	noun_fem	F	po:noun_fem					pending
85	007e04555d2b01577c64ddcdc9219c3f6bd753e7a9ec73d164ffa8c50594c9e0	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	26237	misamehe	misamehe	noun_fem	F	po:noun_fem					pending
86	008386255a4e0b7a7c4a52c0581f17b8ebd90a9807476fc9ec69c286aeafc335	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	9795	bêarîşeyî	bêarîşeyî	noun_fem	F	po:noun_fem					pending
87	00840701b1266bb200d0d2f90080171fcd2b429219cb6a6f6ed450306b53eb3f	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	9799	bêasayî	bêasayî	noun_fem	F	po:noun_fem					pending
88	0084a19385e28161b24a871b3e067a7acf0bf20db49645671c135554170d6a20	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	94	abestî	abestî	noun_fem	F	po:noun_fem					pending
89	008969e5bf822c4b403d62827449f5a38caff28df9ea16c8482cc68c6bf522cc	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	430	agirkirî	agirkirî	adjective	AN	po:adj					pending
90	0089e00647a204f69537b02b35e27318a94cb520d166c0aa3122dcf684258b56	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	18975	Guyana	guyana	propn	ZF	po:propn					pending
91	008b8da6192dae2bdc7f67732dc45c40808a0ee1e850d367080f8358d37bf43c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	5357	bibawerîtî	bibawerîtî	noun_fem	F	po:noun_fem					pending
92	008f8f59ab98a1fe77a812605c352e2defaac164549bde853942e3a9c7bab68e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41344	çarmêrgî	çarmêrgî	adverb	R	po:adv					pending
93	00947a4bb6906d2e88f7f9f969046ac46438940e8f93b17702aac683e03c245e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	17928	geremolbûyî	geremolbûyî	adjective	AN	po:adj					pending
94	0095eb20d99e31586973937da8f23025d9aaed09b4f76dc468ca90d800a97eb9	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	32156	rahavêj	rahavêj	adjective	AN	po:adj					pending
95	0095fc690af2589398e38076d33eab195655830bd7d6d16271b0c4a6c9315b90	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	35730	sîrkirin	sîrkirin	noun_fem	F	po:noun_fem					pending
96	0096c29e59877a0ce48724b7c4d5265a75c2edb5ba5b0c79bee139138388bea0	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	36282	tehrîbkirin	tehrîbkirin	noun_fem	F	po:noun_fem					pending
97	009862744f3dbeea1987bb24bae9670e2dfa25ec556c1e84504164dd8d2cf204	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	18836	gumrehî	gumrehî	noun_fem	F	po:noun_fem					pending
98	009a75de6fcff450cb47b85f02e8364dfaad6f6f1765b3910cae41dcfeac4e25	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	31194	qelemdar	qelemdar	adjective	AN	po:adj					pending
99	009ab7629ec7ee09bf0c3f7c0aeae024ff4ac7daf523cb4df4ea3de9c8db1680	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	43688	şêlkirin	şêlkirin	noun_fem	F	po:noun_fem					pending
100	009b906a404dd1d89349bd748f86d0fd86f9d0161a5171a3a33e99362c2deb94	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	9727	bêabrûkirî	bêabrûkirî	adjective	AN	po:adj					pending
101	009c13869c9e583a03a8045c30c8a369fa633696a8516e8bc93658b6caecf968	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	29618	peşîmankirî	peşîmankirî	adjective	AN	po:adj					pending
102	009c14681ae4cd60e17ae926485f6d1ade8c1ba02f6301d78205ba7eea863db9	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	36920	tevîkirin	tevîkirin	noun_fem	F	po:noun_fem					pending
103	00a011e3f885e0087ba190bf0c97ca8b97023cf6e0b66deac4e8e05dcec53ce6	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	12443	bêçêj	bêçêj	adjective	AN	po:adj					pending
104	00a06d19d9872d6b5ae57850bf38e8c2bbfcb6e28a3bc4bbe4be8b3f72a467aa	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	20560	hincirîn	hincirîn	noun_fem	F	po:noun_fem					pending
105	00a0a661b5685de23fb15af81269695c7c8a6709470d268903abbc4467e24012	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	4658	bers	bers	noun_fem	F	po:noun_fem					pending
106	00a158faaea7591639356bcefca0d6b5978d6501ab80a96395d592e87d2d9d5b	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	22259	keland	keland	verb	T	po:verb;is:past_stem_transitive_active;st:kel;lem:kelandin					pending
107	00a1c7cb5263952a3168b92b70a1051f45e47cba06703039e6758b6a9f109e23	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	22230	kefçe	kefçe	noun_fem	F	po:noun_fem					pending
108	00a224453a6b5ef7eab63bd57ed08d87315ec23c3f6c19deea005d4891b79ba6	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	5276	biavahîsazî	biavahîsazî	noun_fem	F	po:noun_fem					pending
109	00a326bc874ae1810534e0cd8a8cbb61d6547e85038746be96cf204cd9be86ee	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	26219	mirûzkirî	mirûzkirî	adjective	AN	po:adj					pending
110	00a3defc2af9a2d30fdb913dc394fdca51b82da8cf94750874e839df440ded3f	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	6679	bijûnkarî	bijûnkarî	noun_fem	F	po:noun_fem					pending
111	00a42ff8870ba7d074c32679aab1648958b1aa720804e518026db120a63869b1	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	15462	dêrisbûyî	dêrisbûyî	adjective	AN	po:adj					pending
112	00a6e8c67be48c3634ad741cad583a1cc3ce31926946472f0b69361cd04ad76a	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	21864	kalorîfer	kalorîfer	noun_fem	F	po:noun_fem					pending
113	00a95ddb14142a17d6d7474776fc42e583e631e62b71250474bf8954553f0ccd	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	3891	Belleville	belleville	propn	ZF	po:propn					pending
114	00b0061e5fc2ac49406198c72191a74480c3196c6a963721b99a36bbb91cad9e	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	5814	bidilnazikîtî	bidilnazikîtî	noun_fem	F	po:noun_fem					pending
115	00b0bbc6c29dd41c2f870fa79c2c7dffa4d9e885da3fb0e1882c54f5142c34ba	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	26633	muzîkalkirî	muzîkalkirî	adjective	AN	po:adj					pending
116	00b28763648790c9862dd555a54b609eacc195200d2b0827d7a6e485e7a8c3d3	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41259	çamûrkirin	çamûrkirin	noun_fem	F	po:noun_fem					pending
