rank	target_id	source_id	source_revision	source_lines	form	normalized	part_of_speech	flags	morphology	token_count	document_count	zipf	audit_flags	decision_status
394	026d291de02ac210adee8b7959405436bd96504d0219a1fe0f21dc466f805f24	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	30251	proto-samî	proto-samî	noun_fem	F	po:noun_fem					pending
395	026ea6657626b12f70d6c99d17045c029e7073d4531209d4c60c4cab498cfc0c	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	30947	qaqleqûz	qaqleqûz	noun_fem	F	po:noun_fem					pending
396	0278336a8e00fd22c2b8590f864dc607ef9b834168adaf8e25e87946eb09ed33	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40563	zengarîkirin	zengarîkirin	noun_fem	F	po:noun_fem					pending
397	027909362a0bf9bbf5abb8e8f111ff1984b013206d86ac92cede4fb15fd07206	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	2524	aştîxwaz	aştîxwaz	adjective	AN	po:adj					pending
398	027bd7425a3d09120a9a7c6800cf52bc1419eafcf90a3e04e5510749c1b1dd18	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	3198	basovan	basovan	noun_fem	F	po:noun_fem					pending
399	027d885a6b0447df27a1641b124d41edc339aaa0c6a6e4f550d5e249709d50bd	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	2698	bahrî	bahrî	adjective	AN	po:adj					pending
400	027dfbb3e3110cda2d1ae2110dbe96d4cf925a7ab09efd06808db4633d961ecc	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	40871	zirrkirin	zirrkirin	noun_fem	F	po:noun_fem					pending
401	02828049fb25f11113219a371cab848cc6a0478a9859f5b57023a27433cb69b7	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	42743	îzîn	îzîn	verb	XF	po:verb					pending
402	0284228b874ce0c06e555d9eed5f5cc6aa2823093b5e3e0d12bc4836f466f5a8	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	33034	rizand	rizand	verb	T	po:verb;is:past_stem_transitive_active;st:riz;lem:rizandin					pending
403	028830cc1e8aae4ec138394cce508c87aaa23e6287ead25ff434013093efce89	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	41915	çire	çire	adverb	R	po:adv					pending
404	028b22125b1e4974cc2da17f02bbc4a006d9cf25ba0b01120c02bd4089b977c4	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	26377	mizicand	mizicand	verb	T	po:verb;is:past_stem_transitive_active;st:mizic;lem:mizicandin					pending
405	028f018f657aa8dbd31e450d737464d05b50d14ad6d50fc3239e021dacf47c8d	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	26844	mîzah	mîzah	noun_fem	F	po:noun_fem					pending
406	028f4a070efd1a2eedeb8914a26c29ea5ae41404206602322047c56727942569	kurdish-hunspell-kmr	88131d6878ef7fa3ee114aa554adc385ff85b44c	3676	behîf	behîf	noun_fem	F	po:noun_fem					pending
