107	2710	5043	3	86	34884
107	2710	13582	3	86	34884
107	2710	41379	47	86	546512
107	2712	23020	35	51	686275
107	3174	38465	6	9	666667
107	3313	41379	4	8	500000
107	3375	32076	4	24	166667
107	3378	23020	17	28	607143
107	3950	5043	18	22	818182
107	4260	37480	3	20	150000
107	4674	21001	3	44	68182
107	4674	38828	3	44	68182
107	4674	38891	3	44	68182
107	5043	13632	3	833	3601
107	5043	16079	10	833	12005
107	5043	19100	4	833	4802
107	5043	23029	14	833	16807
107	5043	26290	4	833	4802
107	5043	26399	357	833	428571
107	5043	33134	175	833	210084
107	5043	33460	10	833	12005
107	5043	33476	6	833	7203
107	5043	35699	5	833	6002
107	5043	39477	17	833	20408
107	5696	36688	7	34	205882
107	5696	38891	24	34	705882
107	6771	13582	7	30	233333
107	6771	41379	5	30	166667
107	7251	107	3	14	214286
107	9429	12405	3	38	78947
107	9429	38828	6	38	157895
107	9429	38891	3	38	78947
107	9429	41379	3	38	78947
107	12945	41379	4	14	285714
107	13125	12405	9	194	46392
107	13125	13173	3	194	15464
107	13125	13582	14	194	72165
107	13125	14357	5	194	25773
107	13125	18740	3	194	15464
107	13125	18749	4	194	20619
107	13125	22875	3	194	15464
107	13125	23709	5	194	25773
107	13125	29509	3	194	15464
107	13125	38828	11	194	56701
107	13125	38891	80	194	412371
107	13125	41379	8	194	41237
107	13126	38828	3	15	200000
107	13172	15415	11	16	687500
107	13504	38828	4	18	222222
107	13509	107	3	8	375000
107	13582	5043	6	121	49587
107	13582	14061	5	121	41322
107	13582	14357	5	121	41322
107	13582	16214	4	121	33058
107	13582	18738	3	121	24793
107	13582	18749	8	121	66116
107	13582	21001	6	121	49587
107	13582	23709	26	121	214876
107	13735	23071	3	3	1000000
107	13749	107	13	18	722222
107	13754	107	12	28	428571
107	13837	3081	3	5	600000
107	13923	13582	4	22	181818
107	13923	41379	5	22	227273
107	14026	26405	8	14	571429
107	14061	5043	3	7	428571
107	14167	5043	3	4	750000
107	14189	7251	11	16	687500
107	14275	36053	6	22	272727
107	14275	41274	3	22	136364
107	14281	38828	5	27	185185
107	14282	38907	51	57	894737
107	14357	7071	22	287	76655
107	14357	13711	7	287	24390
107	14357	13855	4	287	13937
107	14357	26290	18	287	62718
107	14357	26291	4	287	13937
107	14357	26299	51	287	177700
107	14357	32372	3	287	10453
107	14357	32684	4	287	13937
107	14363	33267	3	8	375000
107	14697	5043	3	54	55556
107	14697	21001	4	54	74074
107	14697	21200	19	54	351852
107	14710	38891	4	17	235294
107	15147	107	6	55	109091
107	15147	13582	4	55	72727
107	15147	21200	13	55	236364
107	15148	21200	3	15	200000
107	15160	13582	3	19	157895
107	15160	38891	6	19	315789
107	15299	107	3	27	111111
107	15299	38828	6	27	222222
107	15299	38891	5	27	185185
107	15550	38891	5	9	555556
107	15608	37648	8	8	1000000
107	15780	40454	3	4	750000
107	15866	5043	4	21	190476
107	15947	38891	4	10	400000
107	15962	36380	3	15	200000
107	15962	38828	4	15	266667
107	15994	15415	17	18	944444
107	15997	38828	3	11	272727
107	16028	38891	135	135	1000000
107	16031	36748	64	69	927536
107	16031	38891	4	69	57971
107	16261	26405	3	8	375000
107	16262	38891	3	20	150000
107	16514	107	3	11	272727
107	16517	32543	4	7	571429
107	16680	21554	4	16	250000
107	16680	38828	6	16	375000
107	17142	12405	3	33	90909
107	17142	38828	4	33	121212
107	17142	38891	6	33	181818
107	17161	38828	7	12	583333
107	17287	14389	3	125	24000
107	17287	18738	3	125	24000
107	17287	18749	5	125	40000
107	17287	21554	7	125	56000
107	17287	36380	5	125	40000
107	17287	37295	9	125	72000
107	17287	37325	59	125	472000
107	17287	37792	4	125	32000
107	17439	107	4	16	250000
107	17449	107	4	105	38095
107	17449	15415	3	105	28571
107	17449	18740	3	105	28571
107	17449	21554	29	105	276190
107	17449	41379	3	105	28571
107	17477	23006	9	17	529412
107	17993	446	25	319	78370
107	17993	25959	268	319	840125
107	17993	26393	3	319	9404
107	17993	28069	3	319	9404
107	18008	107	10	30	333333
107	18008	15415	4	30	133333
107	18070	38828	3	25	120000
107	18116	25989	3	7	428571
107	19031	15415	5	9	555556
107	19155	13715	3	11	272727
107	19159	13715	3	11	272727
107	19210	15051	3	24	125000
107	19329	18227	372	2112	176136
107	19329	21128	3	2112	1420
107	19329	23020	10	2112	4735
107	19329	41050	414	2112	196023
107	19335	12405	4	23	173913
107	19335	13582	3	23	130435
107	19335	38891	5	23	217391
107	19337	3340	25	222	112613
107	19337	5043	7	222	31532
107	19337	6771	12	222	54054
107	19337	13504	4	222	18018
107	19337	14780	3	222	13514
107	19337	18008	9	222	40541
107	19337	22050	9	222	40541
107	19337	25097	55	222	247748
107	19337	26317	5	222	22523
107	19337	29795	10	222	45045
107	19337	33406	7	222	31532
107	19337	39721	6	222	27027
107	19400	13582	3	4	750000
107	19415	107	4	14	285714
107	19799	22875	3	13	230769
107	19805	32685	4	5	800000
107	20588	40168	4	17	235294
107	20851	13582	4	41	97561
