2120	3	3	2670
2123	2	1	2490
2131	3	2	2670
2144	4	4	2790
2146	1	1	2190
2152	1	1	2190
2153	435	234	4830
2154	10	9	3190
2155	14	13	3340
2160	12	6	3270
2161	14	13	3340
2165	2	2	2490
2170	42	38	3820
2171	2	2	2490
2173	41	32	3810
2175	1	1	2190
2177	1	1	2190
2190	4	1	2790
2192	1	1	2190
2195	13	13	3310
2201	1	1	2190
2204	1	1	2190
2205	20	17	3490
2208	31	27	3680
2209	42	32	3820
2210	13	10	3310
2215	1000	599	5190
2217	4	3	2790
2220	1	1	2190
2222	4	4	2790
2224	573	343	4950
2225	219	161	4530
2226	9	9	3150
2227	2	2	2490
2228	393	228	4790
2229	1	1	2190
2235	34	33	3720
2236	1	1	2190
2246	1	1	2190
2250	17	12	3420
2262	1	1	2190
2265	1	1	2190
2272	160	124	4400
2273	4672	4437	5860
2274	505	217	4900
2275	2	2	2490
2277	1	1	2190
2281	275	164	4630
2286	1	1	2190
2288	2	1	2490
2290	1	1	2190
2291	1	1	2190
2298	2	2	2490
2310	9	9	3150
2322	1	1	2190
2326	4	4	2790
2327	3	3	2670
2329	4	4	2790
2331	3	3	2670
2332	2	2	2490
2334	2	2	2490
2339	20	16	3490
2340	1	1	2190
2348	35	27	3740
2354	61	46	3980
2365	1	1	2190
2373	14	12	3340
2374	1	1	2190
2379	3	2	2670
2380	2	2	2490
2382	23	23	3550
2395	38	31	3770
2400	4	4	2790
2402	1	1	2190
2403	39	35	3780
2405	1	1	2190
2408	1	1	2190
2409	6	6	2970
2416	4	3	2790
2430	1	1	2190
2439	1	1	2190
2441	50	36	3890
2446	3	3	2670
2447	3	3	2670
2452	102	74	4200
2453	457	305	4850
2456	1	1	2190
2458	123	96	4280
2460	1	1	2190
2463	7	3	3040
2468	27	25	3620
2470	1	1	2190
2471	2	2	2490
2472	7	7	3040
2475	1	1	2190
2481	8	6	3100
2482	2	1	2490
2486	2	2	2490
2492	3	3	2670
2494	34	23	3720
2498	1926	822	5480
2499	552	368	4930
2500	1	1	2190
2501	26	20	3610
2502	1	1	2190
2503	1	1	2190
2513	24	21	3570
2520	4	4	2790
2524	1	1	2190
2527	4	3	2790
2529	1	1	2190
2532	4	3	2790
2534	2	2	2490
2536	1	1	2190
2538	10	7	3190
2540	69	37	4030
2542	3	3	2670
2543	1	1	2190
2544	73	57	4060
2545	32	25	3700
2550	1	1	2190
2553	1	1	2190
2557	1	1	2190
2562	3	3	2670
2564	12	8	3270
2565	1	1	2190
2571	77	26	4080
2572	6	6	2970
2582	4	4	2790
2584	1	1	2190
2589	1	1	2190
2590	1	1	2190
2591	4	4	2790
2592	3	3	2670
2593	2	1	2490
2595	42	1	3820
2596	23	15	3550
2599	1	1	2190
2603	18	18	3450
2610	3	1	2670
2611	6	6	2970
2616	53	13	3920
2617	19	16	3470
2618	5	2	2890
2629	98	55	4180
2632	1	1	2190
2633	16	10	3400
2634	1	1	2190
2636	1	1	2190
2637	1	1	2190
2639	1	1	2190
2640	7320	6539	6060
2641	510	508	4900
2642	373	215	4760
2647	168	153	4420
2648	2761	2680	5630
2650	1	1	2190
2653	7	4	3040
2654	305	259	4680
2655	794	790	5090
2656	181	135	4450
2657	7105	6968	6040
2658	13	7	3310
2669	20	17	3490
2676	14098	9733	6340
2677	6069	4629	5980
2678	951	742	5170
2679	7	7	3040
2680	1	1	2190
