790	13546	24	199	120603
790	14318	2	199	10050
790	20921	6	199	30151
790	21119	11	199	55276
790	23617	6	199	30151
790	26364	3	199	15075
790	31271	3	199	15075
790	36524	2	199	10050
790	36547	4	199	20101
790	36584	65	199	326633
790	37048	2	199	10050
791	13546	5	179	27933
791	14657	40	179	223464
791	21119	4	179	22346
791	23405	2	179	11173
791	27485	2	179	11173
791	36584	43	179	240223
791	36945	2	179	11173
791	37362	13	179	72626
791	41194	9	179	50279
792	1476	96	12371	7760
792	2699	71	12371	5739
792	2701	483	12371	39043
792	3363	75	12371	6063
792	3366	395	12371	31930
792	14236	1140	12371	92151
792	14242	59	12371	4769
792	14657	199	12371	16086
792	17385	53	12371	4284
792	17400	69	12371	5578
792	20512	190	12371	15358
792	31199	54	12371	4365
792	31941	64	12371	5173
793	2699	5	470	10638
793	2701	4	470	8511
793	13094	17	470	36170
793	14657	23	470	48936
793	17400	4	470	8511
793	22785	6	470	12766
793	22930	11	470	23404
793	33114	5	470	10638
793	33914	9	470	19149
793	37362	15	470	31915
793	38294	17	470	36170
802	1060	6	42	142857
802	15329	2	42	47619
802	21119	2	42	47619
802	27014	2	42	47619
802	41194	3	42	71429
805	41194	2	4	500000
808	5026	45	1142	39405
808	12383	11	1142	9632
808	13546	29	1142	25394
808	14318	35	1142	30648
808	17085	12	1142	10508
808	18678	11	1142	9632
808	20921	41	1142	35902
808	21471	15	1142	13135
808	23617	27	1142	23643
808	36584	11	1142	9632
808	38655	13	1142	11384
808	38717	44	1142	38529
808	38889	12	1142	10508
808	41194	91	1142	79685
809	5026	32	7222	4431
809	12383	13	7222	1800
809	12416	10	7222	1385
809	13546	43	7222	5954
809	14318	47	7222	6508
809	14400	36	7222	4985
809	18687	10	7222	1385
809	20921	46	7222	6369
809	21471	416	7222	57602
809	22212	10	7222	1385
809	23617	36	7222	4985
809	31271	12	7222	1662
809	36584	12	7222	1662
809	38655	20	7222	2769
809	38717	5981	7222	828164
809	41194	48	7222	6646
810	5026	19	1076	17658
810	13546	30	1076	27881
810	13801	9	1076	8364
810	17934	27	1076	25093
810	20921	22	1076	20446
810	21119	15	1076	13941
810	21471	95	1076	88290
810	23617	14	1076	13011
810	31271	12	1076	11152
810	38655	43	1076	39963
810	38717	37	1076	34387
810	38805	24	1076	22305
810	39905	10	1076	9294
810	41194	69	1076	64126
819	2697	2	27	74074
819	5026	5	27	185185
819	14318	4	27	148148
819	21119	2	27	74074
819	36922	2	27	74074
826	103	11	108	101852
826	5026	5	108	46296
826	12383	4	108	37037
826	13546	4	108	37037
826	15373	24	108	222222
826	20921	8	108	74074
826	22212	2	108	18519
826	23617	2	108	18519
826	40749	11	108	101852
826	41194	10	108	92593
837	4149	2	62	32258
837	13923	5	62	80645
837	13924	2	62	32258
837	13927	2	62	32258
837	14318	5	62	80645
837	39544	4	62	64516
837	41194	14	62	225806
841	103	379	1785	212325
841	13546	477	1785	267227
841	21471	4	1785	2241
841	22527	6	1785	3361
841	36219	2	1785	1120
845	103	6	51	117647
845	1060	3	51	58824
845	13546	2	51	39216
845	21471	2	51	39216
845	37048	3	51	58824
845	41194	3	51	58824
856	5026	4	49	81633
856	18403	2	49	40816
859	3438	97	713	136045
859	5026	8	713	11220
859	13546	16	713	22440
859	14318	12	713	16830
859	17385	15	713	21038
859	18739	9	713	12623
859	20921	8	713	11220
859	21119	10	713	14025
859	23617	9	713	12623
859	36584	23	713	32258
859	38717	8	713	11220
859	38801	10	713	14025
859	38963	9	713	12623
859	41194	12	713	16830
861	103	3	29	103448
861	41194	10	29	344828
863	14657	4	201	19900
863	27910	6	201	29851
863	32409	13	201	64677
863	36890	3	201	14925
863	36914	2	201	9950
863	36945	7	201	34826
863	37362	14	201	69652
863	37398	16	201	79602
863	38294	10	201	49751
866	103	5	203	24631
866	5026	11	203	54187
866	12383	7	203	34483
866	12396	4	203	19704
866	13140	3	203	14778
866	14318	6	203	29557
866	15373	5	203	24631
866	20921	11	203	54187
866	22228	3	203	14778
866	22785	37	203	182266
866	23617	4	203	19704
866	39724	4	203	19704
866	40749	5	203	24631
866	41194	26	203	128079
869	167	6	997	6018
869	19378	8	997	8024
869	20512	9	997	9027
869	20921	6	997	6018
869	22918	16	997	16048
869	22938	7	997	7021
869	23610	11	997	11033
869	25382	7	997	7021
869	27671	7	997	7021
869	36547	18	997	18054
869	36890	11	997	11033
